Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
HER21_R1	68.7323020521	60.0	61247419.0	20.0	54.0
HER21_R2	65.8626833956	60.0	61247419.0	20.0	54.0
HER22_R1	61.4909045255	60.0	68888018.0	10.0	52.0
HER22_R2	56.2982748292	60.0	68888018.0	30.0	53.0
HER23_R1	65.5122164522	60.0	52010599.0	20.0	54.0
HER23_R2	60.5611430679	60.0	52010599.0	20.0	54.0
NonTNBC1_R1	65.3342233157	60.0	64355558.0	20.0	53.0
NonTNBC1_R2	61.8821720865	60.0	64355558.0	20.0	54.0
NonTNBC2_R1	61.4855760764	60.0	51565654.0	20.0	54.0
NonTNBC2_R2	58.1739224666	60.0	51565654.0	30.0	55.0
NonTNBC3_R1	62.3039078232	60.0	55701488.0	30.0	54.0
NonTNBC3_R2	59.2292410991	60.0	55701488.0	30.0	55.0
Normal1_R1	45.5644710053	75.0	15886336.0	10.0	51.0
Normal1_R2	44.5040741734	75.0	15886336.0	10.0	51.0
Normal2_R1	46.2824545781	75.0	32900696.0	10.0	50.0
Normal2_R2	44.9589124594	75.0	32900696.0	10.0	50.0
Normal3_R1	49.4221937925	75.0	37178138.0	10.0	49.0
Normal3_R2	48.3995956858	75.0	37178138.0	10.0	49.0
TNBC1_R1	47.6218467083	60.0	44434722.0	10.0	52.0
TNBC1_R2	43.5945495784	60.0	44434722.0	10.0	52.0
TNBC2_R1	66.0624371926	60.0	45663946.0	20.0	56.0
TNBC2_R2	61.3055045921	60.0	45663946.0	20.0	57.0
TNBC3_R1	67.0276908757	60.0	48256786.0	30.0	55.0
TNBC3_R2	59.5704878636	60.0	48256786.0	20.0	57.0
