Module	Section	Sample Name	Source
FastQC	all_sections	Normal1_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/Normal1_R1_fastqc.zip
FastQC	all_sections	Normal1_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/Normal1_R2_fastqc.zip
FastQC	all_sections	TNBC1_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/TNBC1_R1_fastqc.zip
FastQC	all_sections	TNBC1_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/TNBC1_R2_fastqc.zip
FastQC	all_sections	NonTNBC2_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/NonTNBC2_R2_fastqc.zip
FastQC	all_sections	NonTNBC2_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/NonTNBC2_R1_fastqc.zip
FastQC	all_sections	NonTNBC3_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/NonTNBC3_R1_fastqc.zip
FastQC	all_sections	TNBC2_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/TNBC2_R1_fastqc.zip
FastQC	all_sections	TNBC2_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/TNBC2_R2_fastqc.zip
FastQC	all_sections	NonTNBC3_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/NonTNBC3_R2_fastqc.zip
FastQC	all_sections	Normal2_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/Normal2_R1_fastqc.zip
FastQC	all_sections	Normal2_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/Normal2_R2_fastqc.zip
FastQC	all_sections	HER22_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/HER22_R1_fastqc.zip
FastQC	all_sections	NonTNBC1_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/NonTNBC1_R2_fastqc.zip
FastQC	all_sections	NonTNBC1_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/NonTNBC1_R1_fastqc.zip
FastQC	all_sections	HER22_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/HER22_R2_fastqc.zip
FastQC	all_sections	TNBC3_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/TNBC3_R2_fastqc.zip
FastQC	all_sections	TNBC3_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/TNBC3_R1_fastqc.zip
FastQC	all_sections	Normal3_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/Normal3_R2_fastqc.zip
FastQC	all_sections	HER21_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/HER21_R2_fastqc.zip
FastQC	all_sections	HER21_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/HER21_R1_fastqc.zip
FastQC	all_sections	Normal3_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/Normal3_R1_fastqc.zip
FastQC	all_sections	HER23_R1	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/HER23_R1_fastqc.zip
FastQC	all_sections	HER23_R2	/data/courses/rnaseq/breastcancer_de/swu_workspace/QCres/HER23_R2_fastqc.zip
